vars,clauses,seed,cadical_ms,cadical_result,rust_cdcl_ms,rust_cdcl_result,bend_cdcl_ms,bend_cdcl_result,bend_dpll_ms,bend_dpll_result
10,43,1,18,TIMEOUT,25,SAT,573,SAT,872,SAT
10,43,2,39,TIMEOUT,31,SAT,982,SAT,829,SAT
10,43,3,27,TIMEOUT,35,SAT,522,SAT,1156,SAT
15,64,1,31,TIMEOUT,15,UNSAT,2852,TIMEOUT,2053,UNSAT
15,64,2,22,TIMEOUT,29,SAT,3467,SAT,3484,SAT
15,64,3,13,TIMEOUT,5,UNSAT,1743,TIMEOUT,1632,UNSAT
20,86,1,13,TIMEOUT,4,SAT,4775,SAT,5414,SAT
20,86,2,10,TIMEOUT,6,SAT,5561,SAT,5807,SAT
20,86,3,8,TIMEOUT,6,SAT,7313,SAT,9036,SAT
25,107,1,29,TIMEOUT,24,SAT,18206,SAT,16222,SAT
25,107,2,7,TIMEOUT,4,SAT,18150,SAT,17098,SAT
25,107,3,6,TIMEOUT,4,SAT,8082,SAT,7905,SAT
30,128,1,5,TIMEOUT,4,SAT,36536,SAT,36441,SAT
30,128,2,5,TIMEOUT,4,SAT,43730,SAT,56400,SAT
35,150,1,5,TIMEOUT,4,SAT,120021,TIMEOUT,120027,TIMEOUT
35,150,2,51,TIMEOUT,23,UNSAT,120014,TIMEOUT,97946,UNSAT
50,213,1,10,TIMEOUT,5,UNSAT,-1,SKIP,-1,SKIP
50,213,2,16,TIMEOUT,4,SAT,-1,SKIP,-1,SKIP
100,426,1,12,TIMEOUT,7,SAT,-1,SKIP,-1,SKIP
100,426,2,17,TIMEOUT,7,UNSAT,-1,SKIP,-1,SKIP
200,852,1,647,TIMEOUT,7,UNSAT,-1,SKIP,-1,SKIP
